
Name,Suburb,Address,Price (AUD),Duration,Brunch Days,Start/End Time,Drinks Included,Cuisine,Notes,Website URL,Instagram URL,Google Maps URL,Last Verified Date
Joji Social Saturdays,Sydney CBD,"Level 5, 388 George Street, Sydney NSW 2000",130,90 mins,Saturday,From 12:00 PM,"French rosé, beer (cocktail upgrade available)",Japanese,Three‑course Japanese menu; optional cocktail upgrade,https://www.jojisydney.com/whats-on/social-saturdays/,https://www.instagram.com/joji_sydney/,https://www.google.com/maps/?q=388+George+St+Sydney+NSW+2000,2025-07-29
Matteo Downtown Bottomless Lunch,Sydney CBD,"20 Bond Street, Sydney NSW 2000",99,2 hours,Saturday,12:00 PM – 4:30 PM,"Spritz on arrival, cocktails, wine",Italian,Three‑course Italian feast; alcohol‑free option ($89),https://www.matteosydney.com/whats-on/bottomless-lunch/,https://www.instagram.com/matteodowntown/,https://www.google.com/maps/?q=20+Bond+St+Sydney+NSW+2000,2025-07-29
Mille Vini Limoncello Spritz Lunch,Surry Hills,"397 Crown Street, Surry Hills NSW 2010",99,90 mins,Saturday & Sunday,1:00 PM – 3:15 PM,"Limoncello spritz, mimosas, selected wine",Italian,Five‑course set menu; unlimited drinks during session,https://millevini.com.au/bottomless-lunch/,https://www.instagram.com/millevini/,https://www.google.com/maps/?q=397+Crown+St+Surry+Hills+NSW+2010,2025-07-29
Tucano’s Disco Brunch,Surry Hills,"277 Goulburn Street, Surry Hills NSW 2010",95,2 hours,Saturday,2:00 PM – 4:00 PM,"Gin spritzes, wine, tap beer",Italian/Brazilian,"Disco brunch with shared plates; includes spritzes, wine and beer",https://tucanos.com.au/disco-brunch/,https://www.instagram.com/tucanos.sydney/,https://www.google.com/maps/?q=277+Goulburn+St+Surry+Hills+NSW+2010,2025-07-29
Rosie Campbell’s Bottomless Daiquiri Lunch,Surry Hills,"320 Crown Street, Surry Hills NSW 2010",99,90 mins,Friday – Sunday,12:00 PM – 3:15 PM,"Daiquiris (three flavours), Piña Coladas, sparkling wine, tap beer",Jamaican/Caribbean,Five‑course island banquet; DJ on Saturday; surcharges apply,https://rosiecampbells.com/bottomless-daiquiri-lunch/,https://www.instagram.com/rosiecampbells/,https://www.google.com/maps/?q=320+Crown+St+Surry+Hills+NSW+2010,2025-07-29
The Winery Bellini Disco Brunch,Surry Hills,"285a Crown Street, Surry Hills NSW 2010",99,2 hours,Saturday,"11:30 AM, 12:00 PM & 3:00 PM sessions",Bellinis and spritzes,Modern Australian,Disco‑themed brunch with bottomless Bellinis; set menu,https://thewinerysurryhills.com.au/bellini-disco-brunch/,https://www.instagram.com/thewinerysurryhills/,https://www.google.com/maps/?q=285A+Crown+St+Surry+Hills+NSW+2010,2025-07-29
The Winery Sip & Slay Drag Brunch,Surry Hills,"285a Crown Street, Surry Hills NSW 2010",99,2 hours,Sunday,12:30 PM session,Spritzes,Modern Australian,Drag‑hosted brunch with a two‑course menu,https://thewinerysurryhills.com.au/sip-and-slay-drag-brunch/,https://www.instagram.com/thewinerysurryhills/,https://www.google.com/maps/?q=285A+Crown+St+Surry+Hills+NSW+2010,2025-07-29
Rocker Bondi Bottomless Brunch,North Bondi,"Shop 5, 39–53 Campbell Parade, North Bondi NSW 2026",85,90 mins,Thursday – Sunday,11:30 AM & 1:45 PM sittings,"Mimosas, sparkling wine, beer, rosé",European/Modern Australian,Shared seasonal menu with free‑flowing drinks for 90 minutes,https://www.rockerbondi.com.au/bottomless-brunch/,https://www.instagram.com/rockerbondi/,https://www.google.com/maps/?q=39-53+Campbell+Parade+North+Bondi+NSW+2026,2025-07-29
Watsons Bay Boutique Hotel Bottomless Brunch,Watsons Bay,"10 Marine Parade, Watsons Bay NSW 2030",99,2 hours,Saturday,12:00 PM & 2:30 PM seatings,"Rameau d'Or Rosé, house wine, beer (spritz upgrade available)",Italian‑inspired,Two‑course share menu; upgrade with spritz cocktails ($119),https://watsonsbayhotel.com.au/bottomless-brunch/,https://www.instagram.com/watsonsbayhotel/,https://www.google.com/maps/?q=10+Marine+Parade+Watsons+Bay+NSW+2030,2025-07-29
Forrester’s Bottomless Lunch,Surry Hills,"336 Riley Street, Surry Hills NSW 2010",89,2 hours,Daily,12:00 PM – 3:00 PM,"House wines, beers, cider (spritz upgrade +$10)",Pub/Modern Australian,Hosted in Phylli’s garden; minimum four guests; includes shared feast,https://forresters.com.au/bottomless-lunch/,https://www.instagram.com/forresters_surryhills/,https://www.google.com/maps/?q=336+Riley+St+Surry+Hills+NSW+2010,2025-07-29
The Toxteth Hotel Bottomless Brunch,Glebe,"345 Glebe Point Road, Glebe NSW 2037",85,2 hours,Sunday (bookings only),12:00 PM – 3:00 PM,"Mimosas, Bloody Marys, Bay Breeze, 4 Pines Pacific Ale, sparkling wine, soft drinks",Pub/Modern Australian,Includes share‑style brunch menu; times may vary [estimated],https://toxtethhotel.com.au/bottomless-brunch/,https://www.instagram.com/toxtethhotel/,https://www.google.com/maps/?q=345+Glebe+Point+Rd+Glebe+NSW+2037,2025-07-29
Bopp & Tone Soul Saturdays,Sydney CBD,"60 Carrington Street, Wynyard Park, Sydney NSW 2000",130,2 hours,Saturday,12:00 PM – 2:45 PM,"Bubbles, mimosas, house wines, beers (upgrades: Taittinger package)",Modern Australian,Shared banquet menu; live soul music; min. four guests,https://boppandtone.com.au/whats-on/soul-saturdays/,https://www.instagram.com/boppandtone/,https://www.google.com/maps/?q=60+Carrington+St+Sydney+NSW+2000,2025-07-29
Royal Hotel Paddington Bottomless Brunch,Paddington,"237 Glenmore Road, Paddington NSW 2021",95,2 hours,Saturday & Sunday,11:00 AM – 1:00 PM,"Mimosas, Bloody Marys, Bay Breeze, 4 Pines Pacific Ale, sparkling wine",Pub/Modern Australian,Two‑course banquet; optional extra hour add‑on ($35),https://royalhotel.com.au/bottomless-brunch/,https://www.instagram.com/royalhotelpaddington/,https://www.google.com/maps/?q=237+Glenmore+Rd+Paddington+NSW+2021,2025-07-29
Botanic House Weekend Brunch,Sydney CBD (Royal Botanic Garden),"Mrs Macquaries Road, Royal Botanic Garden, Sydney NSW 2000",45,2 hours,Saturday & Sunday,From 9:00 AM,"Base brunch $45pp; add-ons: Prosecco package $95, Mumm & Botanic spritz package $110, G.H. Mumm package $140, Non‑alcoholic package $85",Asian‑Australian,Weekend brunch includes chef’s selection dishes; bottomless add‑ons optional; served 9am–11am,https://botanichouse.com.au/bottomless-brunch/,https://www.instagram.com/botanichouse/,https://www.google.com/maps/?q=Royal+Botanic+Garden+Sydney,2025-07-29
Babylon Rooftop Limoncello Brunch,Sydney CBD,"Level 7, 188 Pitt Street, Sydney NSW 2000 (Westfield)",79,2 hours,Saturday & Sunday,"12:00 PM, 1:00 PM or 2:00 PM",Unlimited limoncello jugs,Middle Eastern,Shared meze menu; seatings on the rooftop terrace,https://babylonrooftop.com.au/limoncello-brunch/,https://www.instagram.com/babylonrooftop/,https://www.google.com/maps/?q=188+Pitt+Street+Sydney+NSW+2000,2025-07-29
Rekōdo Jukebox Bottomless,Barangaroo,"35 Barangaroo Avenue, Barangaroo NSW 2000",95,2 hours,Saturday & Sunday,12:00 PM – 3:00 PM,"Prosecco, rosé, Pinot Grigio, Shiraz, Asahi (cocktail add‑on +$35)",Japanese,Japanese‑inspired share plates with free‑flowing drinks; optional cocktail package,https://rekodo.sydney/jukebox-bottomless/,https://www.instagram.com/rekodosydney/,https://www.google.com/maps/?q=35+Barangaroo+Avenue+Barangaroo+NSW+2000,2025-07-29
Cabana Bar Bottomless Margaritas,Sydney CBD,"25 Martin Place, Sydney NSW 2000",89,2 hours,Saturday,12:30 PM & 2:30 PM sessions,"Margaritas, seasonal cocktails",Latin/Australian,Shared menu; minimum four guests; rooftop bar setting,https://cabanabarsyd.com.au/bottomless-brunch/,https://www.instagram.com/cabanabarsyd/,https://www.google.com/maps/?q=25+Martin+Place+Sydney+NSW+2000,2025-07-29
Darling Pavilion Bottomless Brunch,Darling Harbour,"1 Harbour Street, Sydney NSW 2000",89,3 hours,Saturday & Sunday,12:00 PM – 3:00 PM,"Altos Margarita on arrival, sparkling wine, beer",Modern Australian,Sharing menu; waterside venue; responsible service applies,https://darlingpavilion.com.au/whats-on/bottomless-brunch/,https://www.instagram.com/darlingpavilion/,https://www.google.com/maps/?q=1+Harbour+St+Sydney+NSW+2000,2025-07-29
